review_id,text,sentiment,sentiment_score,num_entidades,tipos_entidad,entidades
1,"Dispone de espacios acogedores con unas mamparas que hacen la estancia sea gratificante; en su gran terraza, las mesas bajo sombrillas son también agradables en las que entre el verde del monte y un desahogado espacio, donde en un plano inferior existen una pistas deportivas,...Más",POSITIVE,0.9288,0,,[]
2,"Tanto la comida como los pintxos son buenos, los gintonics los preparan de maravilla y la relación calidad precio está muy bien. Con buen tiempo es muy agradable la terraza",POSITIVE,0.9817,0,,[]
3,Hemos comido estupendamente en la terraza con unos amigos y luego hemos tomado unas copas. Amabilidad en el servicio y muy buen rollo. Repetiremos seguro. Un placer.Más,POSITIVE,0.9789,0,,[]
4,Excelente comida en una de las mejores terrazas de Donosti. Atención de 10. Una maravillosa opción en un lugar tranquiloMás,POSITIVE,0.9791,1,LOC,"[{""label"": ""LOC"", ""text"": ""Donosti"", ""score"": 0.9993}]"
5,"Para comer o cenar algo esta bien, lo malo es que las mesas estas un poco cerca una de la otra y con carro es un poco dificil acceder, en cuanto a comida hay entrantes, hamburguesas, pasta, y platos combinados. La torrija caramelizada un 10.Más",NEGATIVE,0.707,0,,[]
6,un sitio muy agradable para tomar un café unas cañas picar algo o incluso comer. tiene una agradable terraza para los fumadores.....Más,POSITIVE,0.9508,0,,[]
7,"Conocí este sitio a través de internet y me pareció una opción interesante para comer, así que aproveché la visita de unos amigos para ir y probarlo. Fuimos en coche y la zona en la que está ubicado es de fácil aparcamiento, por lo que...Más",POSITIVE,0.9429,0,,[]
8,"Tras pedirme un café y le pedí consejo al camarero para comer algo para almorzar, me recomendó la Tarta de Zanahoria. Sabor súper bueno y estaba súper jugosa. Prometo volver a otras horas para probar productos de la carta, como el Cachopo, del que me...Más",POSITIVE,0.93,0,,[]
9,"Sitio agradable y familiar . El trato por el personal excelente y cercano, muy amables y buenas caras, el servicio rápido y eficaz, cantidad en los platos suficiente y cómida rica. Limpieza en el local buena.Recomendable 100%. Volveré. Saludos.Más",POSITIVE,0.9735,0,,[]
10,"El bully nunca falla como escenario para nuestras cenas de amigas del equipo de baloncesto, y ya son desde hace 11 años que nos reunimos aqui, como siempre el servicio espectacular y la comida inmejorable. Muy recomendable!Más",POSITIVE,0.9764,0,,[]
